idSchool,SchoolName,Grade,ProgramCode,Rank,Tiebreakers,Requests,Assigned Here,Assigned Better,Assigned Worse
413,Alamo ES,TK,SA,2,CT1;,1,0,1,0
413,Alamo ES,TK,SA,3,CT1;,3,0,2,1
413,Alamo ES,TK,SA,1,CT1;S;,1,1,0,0
413,Alamo ES,K,SA,1,-,2,2,0,0
413,Alamo ES,K,SA,3,-,2,0,1.5,0.5
413,Alamo ES,K,SA,4,-,1.5,0,1.5,0
413,Alamo ES,K,SA,5,-,1,0,1,0
413,Alamo ES,K,SA,1,CT1;,1,1,0,0
413,Alamo ES,K,SA,2,CT1;,1,0,0,1
413,Alamo ES,K,SA,4,CT1;,1,0,1,0
413,Alamo ES,1,SA,1,-,1,0.5,0,0.5
413,Alamo ES,2,SA,1,-,1,0,0,1
413,Alamo ES,2,SA,4,AA;,1,0,0,1
413,Alamo ES,3,SA,3,S;,1,1,0,0
420,Alvarado ES,TK,GE,1,-,38.5,0,0,38.5
420,Alvarado ES,TK,GE,2,-,38.5,0,13.5,25
420,Alvarado ES,TK,GE,3,-,47,0.5,24,22.5
420,Alvarado ES,TK,GE,4,-,42.5,0.5,14.5,27.5
420,Alvarado ES,TK,GE,5,-,39,0,18.5,20.5
420,Alvarado ES,TK,GE,6,-,18,0,13.5,4.5
420,Alvarado ES,TK,GE,7,-,12,0,7,5
420,Alvarado ES,TK,GE,8,-,10,0,7,3
420,Alvarado ES,TK,GE,9,-,8.5,0,5.5,3
420,Alvarado ES,TK,GE,10,-,5,0,3.5,1.5
420,Alvarado ES,TK,GE,11,-,3.5,0,2.5,1
420,Alvarado ES,TK,GE,12,-,3.5,0,2,1.5
420,Alvarado ES,TK,GE,13,-,4.5,0,4,0.5
420,Alvarado ES,TK,GE,14,-,3,0,1.5,1.5
420,Alvarado ES,TK,GE,15,-,3,0,1,2
420,Alvarado ES,TK,GE,16,-,1.5,0,1,0.5
420,Alvarado ES,TK,GE,17,-,2,0,2,0
420,Alvarado ES,TK,GE,18,-,2,0,1,1
420,Alvarado ES,TK,GE,19,-,1,0,1,0
420,Alvarado ES,TK,GE,20,-,1,0,1,0
420,Alvarado ES,TK,GE,21,-,2,0,1,1
420,Alvarado ES,TK,GE,22,-,1,0,1,0
420,Alvarado ES,TK,GE,23,-,1,0,1,0
420,Alvarado ES,TK,GE,26,-,1,0,1,0
420,Alvarado ES,TK,GE,27,-,1,0,1,0
420,Alvarado ES,TK,GE,1,AA;,32,0,0,32
420,Alvarado ES,TK,GE,2,AA;,6,0,1.5,4.5
420,Alvarado ES,TK,GE,3,AA;,5,0,0,5
420,Alvarado ES,TK,GE,4,AA;,8,0,3,5
420,Alvarado ES,TK,GE,5,AA;,2,0,0,2
420,Alvarado ES,TK,GE,6,AA;,2,0,1,1
420,Alvarado ES,TK,GE,7,AA;,1,0,1,0
420,Alvarado ES,TK,GE,8,AA;,1,0,0.5,0.5
420,Alvarado ES,TK,GE,9,AA;,1,0,1,0
420,Alvarado ES,TK,GE,19,AA;,1,0,1,0
420,Alvarado ES,TK,GE,1,AA;AAP;,1,1,0,0
420,Alvarado ES,TK,GE,1,CT1;,8,0,0,8
420,Alvarado ES,TK,GE,2,CT1;,9,0.5,8.5,0
420,Alvarado ES,TK,GE,3,CT1;,8.5,0.5,7.5,0.5
420,Alvarado ES,TK,GE,4,CT1;,12,0,11,1
420,Alvarado ES,TK,GE,5,CT1;,7,0,7,0
420,Alvarado ES,TK,GE,6,CT1;,4,0,4,0
420,Alvarado ES,TK,GE,7,CT1;,3,0,3,0
420,Alvarado ES,TK,GE,8,CT1;,4,0,4,0
420,Alvarado ES,TK,GE,9,CT1;,2,0,2,0
420,Alvarado ES,TK,GE,10,CT1;,1,0,1,0
420,Alvarado ES,TK,GE,11,CT1;,1,0,1,0
420,Alvarado ES,TK,GE,12,CT1;,1,0,1,0
420,Alvarado ES,TK,GE,14,CT1;,1,0,1,0
420,Alvarado ES,TK,GE,15,CT1;,1,0,1,0
420,Alvarado ES,TK,GE,2,CT1;AA;,1,0,1,0
420,Alvarado ES,TK,GE,3,CT1;AA;,1,0,1,0
420,Alvarado ES,TK,GE,1,CT1;S;,5,5,0,0
420,Alvarado ES,TK,GE,4,CT1;S;,1,0,1,0
420,Alvarado ES,TK,GE,1,CT1;S;AA;,1,1,0,0
420,Alvarado ES,TK,GE,1,S;,6,4.5,0,1.5
420,Alvarado ES,TK,GE,2,S;,1,0,1,0
420,Alvarado ES,TK,GE,3,S;,1,0,1,0
420,Alvarado ES,TK,GE,4,S;,2,0,2,0
420,Alvarado ES,TK,GE,6,S;,4,0,4,0
420,Alvarado ES,TK,GE,10,S;,1,0,1,0
420,Alvarado ES,TK,GE,1,S;AA;,7.5,7.5,0,0
420,Alvarado ES,TK,GE,3,S;AA;,2,0,2,0
420,Alvarado ES,TK,GE,4,S;AA;,1,0,1,0
420,Alvarado ES,TK,GE,5,S;AA;,2,0,2,0
420,Alvarado ES,TK,GE,1,S;AA;STA;,1,1,0,0
420,Alvarado ES,TK,GE,1,STA;,1,0,0,1
420,Alvarado ES,K,GE,1,-,13,0,0,13
420,Alvarado ES,K,GE,2,-,33,0,13.5,19.5
420,Alvarado ES,K,GE,3,-,25,0,16.5,8.5
420,Alvarado ES,K,GE,4,-,32.5,0.5,24,8
420,Alvarado ES,K,GE,5,-,27.5,0,24.5,3
420,Alvarado ES,K,GE,6,-,23,0,21,2
420,Alvarado ES,K,GE,7,-,18,0,17,1
420,Alvarado ES,K,GE,8,-,20,0,18.5,1.5
420,Alvarado ES,K,GE,9,-,11.5,0.5,10.5,0.5
420,Alvarado ES,K,GE,10,-,11.5,0,11.5,0
